id^food_group_id^long_description^short_description^common_name
0^1^Spices, allspice, ground^ALLSPICE,GROUND^
1^1^Spices, anise seed^ANISE SEED^
2^1^Spices, basil, dried^SPICES,BASIL,DRIED^
3^1^Spices, bay leaf^SPICES,BAY LEAF^
4^1^Spices, caraway seed^CARAWAY SEED^
5^1^Spices, cardamom^SPICES,CARDAMOM^
6^1^Spices, celery seed^CELERY SEED^
7^1^Spices, chervil, dried^CHERVIL,DRIED^
8^1^Spices, chili powder^CHILI POWDER^
9^1^Spices, cinnamon, ground^CINNAMON,GROUND^Cassia
10^1^Spices, cloves, ground^CLOVES,GROUND^
11^1^Spices, coriander leaf, dried^CORIANDER LEAF,DRIED^Chinese parsley, cilantro
12^1^Spices, coriander seed^CORIANDER SEED^
13^1^Spices, cumin seed^CUMIN SEED^
14^1^Spices, curry powder^CURRY POWDER^
15^1^Spices, dill seed^DILL SEED^
16^1^Spices, dill weed, dried^DILL WEED,DRIED^
17^1^Spices, fennel seed^FENNEL SEED^
18^1^Spices, fenugreek seed^FENUGREEK SEED^
19^1^Spices, garlic powder^GARLIC POWDER^
20^1^Spices, ginger, ground^GINGER,GROUND^
21^1^Spices, mace, ground^MACE,GROUND^
22^1^Spices, marjoram, dried^MARJORAM,DRIED^
23^1^Spices, mustard seed, ground^SPICES,MUSTARD SD,GROUND^
24^1^Spices, nutmeg, ground^NUTMEG,GROUND^
25^1^Spices, onion powder^ONION POWDER^
26^1^Spices, oregano, dried^SPICES,OREGANO,DRIED^
27^1^Spices, paprika^PAPRIKA^
28^1^Spices, parsley, dried^PARSLEY,DRIED^
29^1^Spices, pepper, black^PEPPER,BLACK^
30^1^Spices, pepper, red or cayenne^PEPPER,RED OR CAYENNE^
31^1^Spices, pepper, white^PEPPER,WHITE^
32^1^Spices, poppy seed^POPPY SEED^
33^1^Spices, poultry seasoning^POULTRY SEASONING^
34^1^Spices, pumpkin pie spice^PUMPKIN PIE SPICE^
35^1^Spices, rosemary, dried^ROSEMARY,DRIED^
36^1^Spices, saffron^SAFFRON^
37^1^Spices, sage, ground^SAGE,GROUND^
38^1^Spices, savory, ground^SAVORY,GROUND^
39^1^Spices, tarragon, dried^SPICES,TARRAGON,DRIED^
40^1^Spices, thyme, dried^SPICES,THYME,DRIED^
41^1^Spices, turmeric, ground^TURMERIC,GROUND^
42^1^Basil, fresh^BASIL,FRESH^
43^1^Dill weed, fresh^DILL WEED,FRSH^
44^1^Mustard, prepared, yellow^MUSTARD,PREPARED,YELLOW^
45^1^Salt, table^SALT,TABLE^
46^1^Vinegar, cider^VINEGAR,CIDER^
47^1^Thyme, fresh^THYME,FRSH^
48^1^Vanilla extract^VANILLA EXTRACT^
49^1^Vanilla extract, imitation, alcohol^VANILLA EXTRACT,IMITN,ALCOHOL^
50^1^Vanilla extract, imitation, no alcohol^VANILLA EXTRACT,IMITN,NO ALCOHOL^
51^1^Vinegar, distilled^VINEGAR,DISTILLED^
52^1^Capers, canned^CAPERS,CANNED^
53^1^Horseradish, prepared^HORSERADISH,PREPARED^
54^1^Rosemary, fresh^ROSEMARY,FRESH^
55^1^Peppermint, fresh^PEPPERMINT,FRESH^mint
56^1^Spearmint, fresh^SPEARMINT,FRESH^mint
57^1^Spearmint, dried^SPEARMINT,DRIED^mint
58^1^Vinegar, red wine^VINEGAR,RED WINE^
59^1^Vinegar, balsamic^VINEGAR,BALSAMIC^
60^1^PACE, Dry Taco Seasoning Mix^PACE,DRY TACO SEAS MIX^
61^1^Seasoning mix, dry, sazon, coriander & annatto^SEASONING MIX,DRY,SAZON,CORIANDER & ANNATTO^
62^1^Seasoning mix, dry, taco, original^SEASONING MIX,DRY,TACO,ORIGINAL^
63^1^Seasoning mix, dry, chili, original^SEASONING MIX,DRY,CHILI,ORIGINAL^
64^2^Clif Z bar^CLIF Z BAR^
65^2^Babyfood, juice treats, fruit medley, toddler^BABYFOOD,JUC TREATS,FRUIT MEDLEY,TODD^
66^2^Babyfood, meat, beef, strained^BABYFOOD,MEAT,BF,STR^
67^2^Babyfood, meat, beef, junior^BABYFOOD,MEAT,BF,STR^
68^2^Babyfood, meat, veal, strained^BABYFOOD,MEAT,VEAL,STR^
69^2^Babyfood, meat, pork, strained^BABYFOOD,MEAT,PORK,STR^
70^2^Babyfood, meat, ham, strained^BABYFOOD,MEAT,HAM,STR^
71^2^Babyfood, meat, ham, junior^BABYFOOD,MEAT,HAM,JUNIOR^
72^2^Babyfood, meat, lamb, strained^BABYFOOD,MEAT,LAMB,STR^
73^2^Babyfood, meat, lamb, junior^BABYFOOD,MEAT,LAMB,JUNIOR^
74^2^Babyfood, meat, chicken, strained^BABYFOOD,MEAT,CHICK,STR^
75^2^Babyfood, meat, chicken, junior^BABYFOOD,MEAT,CHICK,JR^
76^2^Babyfood, meat, chicken sticks, junior^BABYFOOD,MEAT,CHICK STKS,JR^
77^2^Babyfood, meat, turkey, strained^BABYFOOD,MEAT,TURKEY,STR^
78^2^Babyfood, meat, turkey, junior^BABYFOOD,MEAT,TURKEY,JR^
79^2^Babyfood, meat, turkey sticks, junior^Babyfood, meat, turkey sticks, junior^
80^2^Babyfood, snack, GERBER GRADUATE FRUIT  STRIPS, Real Fruit Bars^BABYFOOD,SNACK,GERBER GRADUATE FRUIT STRIPS,REAL FRUIT BARS^
81^2^Babyfood, meat, meat sticks, junior^BABYFOOD,MEAT,MEAT STKS,JR^
82^2^Babyfood, GERBER, 2nd Foods, apple, carrot and squash, organic^BABYFOOD,GERBER,2ND FOODS,APPL,CARROT & SQUASH,ORGANIC^
83^2^Finger snacks, GERBER GRADUATE PUFFS, apple and cinnamon^FINGER SNACKS,GERBER GRADUATE PUFFS,APPL & CINN^
84^2^Babyfood, water, bottled, GERBER, without added fluoride.^BABYFOOD,H2O,BTLD,GERBER,WO/ ADDED FLUORIDE.^
85^2^Babyfood, GERBER, 3rd Foods, apple, mango and kiwi^BABYFOOD,GERBER,3RD FOODS,APPL,MANGO & KIWI^
86^2^Babyfood, tropical fruit medley^BABYFOOD,TROPICAL FRUIT MEDLEY^
87^2^Babyfood, dinner, vegetables and dumplings and beef, strained^BABYFOOD,DINNER,VEG&DUMPLINGS&BF,STR^
88^2^Babyfood, dinner, vegetables and dumplings and beef, junior^BABYFOOD,DINNER,VEG&DUMPLINGS&BF,JR^
89^2^Babyfood, dinner, beef lasagna, toddler^BABYFOOD,DINNER,BF LASAGNA,TODD^
90^2^Babyfood, dinner, macaroni and tomato and beef, strained^BABYFOOD,DINNER,MACARONI&TOMATO&BF,STR^
91^2^Babyfood, dinner, macaroni and tomato and beef, junior^BABYFOOD,DINNER,MACARONI&TOMATO&BF,JR^
92^2^Babyfood, ravioli, cheese filled, with tomato sauce^BABYFOOD,RAVIOLI,CHS FILLED,W/TOMATO SAU^
93^2^Babyfood, dinner, beef noodle, strained^BABYFOOD,DINNER,BF NOODLE,STR^
94^2^Babyfood, macaroni and cheese, toddler^BABYFOOD,MACARONI&CHS,TODD^
95^2^Babyfood, dinner, beef and rice, toddler^BABYFOOD,DINNER,BF&RICE,TODD^
96^2^Babyfood, dinner, spaghetti and tomato and meat, junior^BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,JR^
97^2^Babyfood, dinner, spaghetti and tomato and meat, toddler^BABYFOOD,DINNER,SPAGHETTI&TOMATO&MEAT,TODD^
98^2^Babyfood, dinner, beef stew, toddler^BABYFOOD,DINNER,BF STEW,TODD^
99^2^Babyfood, dinner, vegetables and beef, strained^BABYFOOD,DINNER,VEG&BF,STR^
100^2^Babyfood, dinner, vegetables and beef, junior^BABYFOOD,DINNER,VEG&BF,JR^
101^2^Babyfood, dinner, beef with vegetables^BABYFOOD,DINNER,BF W/VEG^
102^2^Babyfood, dinner, vegetables and bacon, strained^BABYFOOD,DINNER,VEG&BACON,STR^
103^2^Babyfood, dinner, vegetables and ham, strained^BABYFOOD,DINNER,VEG&HAM,STR^
104^2^Babyfood, dinner, vegetables and ham, junior^BABYFOOD,DINNER,VEG&HAM,JR^
105^2^Babyfood, dinner, vegetables and lamb, strained^BABYFOOD,DINNER,VEG&LAMB,STR^
106^2^Babyfood, dinner, vegetables and lamb, junior^BABYFOOD,DINNER,VEG&LAMB,JR^
107^2^Babyfood, dinner, chicken noodle, strained^BABYFOOD,DINNER,CHICK NOODLE,STR^
108^2^Babyfood, dinner, chicken noodle, junior^BABYFOOD,DINNER,CHICK NOODLE,JR^
109^2^Babyfood, dinner, chicken soup, strained^BABYFOOD,DINNER,CHICK SOUP,STR^
110^2^Babyfood, dinner, chicken stew, toddler^BABYFOOD  DINNER  CHICK STEW  TODD^
111^2^Babyfood, dinner, vegetables chicken, strained^BABYFOOD,DINNER,VEG CHICK,STR^
112^2^Babyfood, dinner, vegetables, noodles and chicken, strained^BABYFOOD,DINNER,VEG,NOODLES&CHICK,STR^
113^2^Babyfood, dinner, vegetables, noodles and chicken, junior^BABYFOOD,DINNER,VEG,NOODLES&CHICK,JR^
114^2^Babyfood, dinner, pasta with vegetables^BABYFOOD,DINNER,PASTA W/VEG^
115^2^Babyfood, dinner, vegetables and noodles and turkey, strained^BABYFOOD,DINNER,VEG&NOODLES&TURKEY,STR^
116^2^Babyfood, dinner, vegetables and noodles and turkey, junior^BABYFOOD,DINNER,VEG&NOODLES&TURKEY,JR^
117^2^Babyfood, dinner, turkey and rice, strained^BABYFOOD,DINNER,TURKEY&RICE,STR^
118^2^Babyfood, dinner, turkey and rice, junior^BABYFOOD,DINNER,TURKEY & RICE,JR^
119^2^Babyfood, dinner, vegetables and turkey, strained^BABYFOOD,DINNER,VEG&TURKEY,STR^
120^2^Babyfood, dinner, vegetables and turkey, junior^BABYFOOD,DINNER,VEG&TURKEY,JR^
121^2^Babyfood, dinner, macaroni and cheese, strained^BABYFOOD,DINNER,MACARONI&CHS,STR^
122^2^Babyfood, dinner, macaroni and cheese, junior^BABYFOOD,DINNER,MACARONI&CHS,JR^
123^2^Babyfood, vegetables, green beans, strained^BABYFOOD,VEG,GRN BNS,STR^
124^2^Babyfood, vegetables, green beans, junior^BABYFOOD,VEG,GRN BNS,JR^
125^2^Babyfood, green beans, dices, toddler^BABYFOOD,GRN BNS,DICES,TODD^
126^2^Babyfood, vegetable, green beans and potatoes^BABYFOOD,VEG,GRN BNS&POTATOES^
127^2^Babyfood, vegetables, beets, strained^BABYFOOD,VEG,BEETS,STR^
128^2^Babyfood, vegetables, carrots, strained^BABYFOOD,VEG,CARROTS,STR^
129^2^Babyfood, vegetables, carrots, junior^BABYFOOD,VEG,CARROTS,JR^
130^2^Babyfood, vegetables, squash, strained^BABYFOOD,VEG,SQUASH,STR^
131^2^Babyfood, vegetables, squash, junior^BABYFOOD,VEG,SQUASH,JR^
132^2^Babyfood, vegetables, sweet potatoes strained^BABYFOOD,VEG,SWT POTATOES,STR^
133^2^Babyfood, vegetables, sweet potatoes, junior^BABYFOOD,VEG,SWT POTATOES,JR^
134^2^Babyfood, potatoes, toddler^BABYFOOD,POTATOES,TODDLER^
135^2^Babyfood, vegetable, butternut squash and corn^BABYFOOD,VEG,BUTTERNUT SQUASH&CORN^
136^2^Babyfood, apples, dices, toddler^BABYFOOD,APPLS,DICES,TODD^
137^2^Babyfood, fruit, applesauce, strained^BABYFOOD,FRUIT,APPLSAUC,STR^
138^2^Babyfood, fruit, applesauce, junior^BABYFOOD,FRUIT,APPLSAUC,JR^
139^2^Babyfood, fruit, apricot with tapioca, strained^BABYFOOD,FRUIT,APRICOT W/TAPIOCA,STR^
140^2^Babyfood, vegetables, corn, creamed, strained^BABYFOOD,VEG,CORN,CRMD,STR^
141^2^Babyfood, vegetables, corn, creamed, junior^BABYFOOD,VEG,CORN,CRMD,JR^
142^2^Babyfood, vegetables, peas, strained^BABYFOOD,VEG,PEAS,STR^
143^2^Babyfood, peas, dices, toddler^BABYFOOD,PEAS,DICES,TODD^
144^2^Babyfood, vegetables, spinach, creamed, strained^BABYFOOD,VEG,SPINACH,CRMD,STR^
145^2^Babyfood, fruit, apricot with tapioca, junior^BABYFOOD,FRUIT,APRICOT W/TAPIOCA,JR^
146^2^Babyfood, fruit, bananas with tapioca, strained^BABYFOOD,FRUIT,BANANAS W/TAPIOCA,STR^
147^2^Babyfood, fruit, peaches, strained^BABYFOOD,FRUIT,PEACHES,STR^
148^2^Babyfood, fruit, peaches, junior^BABYFOOD,FRUIT,PEACHES,JR^
149^2^Babyfood, fruit, pears, strained^BABYFOOD,FRUIT,PEARS,STR^
150^2^Babyfood, fruit, pears, junior^BABYFOOD,FRUIT,PEARS,JR^
151^2^Babyfood, fruit, plums with tapioca, without ascorbic acid, strained^BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,STR^
152^2^Babyfood, fruit, plums with tapioca, without ascorbic acid, junior^BABYFOOD,FRUIT,PLUMS W/TAPIOCA,WO/VIT C,JR^
153^2^Babyfood, fruit, prunes with tapioca, without ascorbic acid, strained^BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,STR^
154^2^Babyfood, fruit, prunes with tapioca, without ascorbic acid, junior^BABYFOOD,FRUIT,PRUNES W/TAPIOCA,WO/VIT C,JR^
155^2^Babyfood, prunes, without vitamin c, strained^BABYFOOD,PRUNES,WO/VIT C,STR^
156^2^Babyfood, fruit dessert, mango with tapioca^BABYFOOD,FRUIT DSSRT,MANGO W/ TAPIOCA^
157^2^Babyfood, pears, dices, toddler^BABYFOOD,PEARS,DICES,TODD^
158^2^Babyfood, fruit, applesauce and apricots, strained^BABYFOOD,FRUIT,APPLSAUC&APRICOTS,STR^
159^2^Babyfood, fruit, applesauce and apricots, junior^BABYFOOD,FRUIT,APPLSAUC&APRICOTS,JR^
160^2^Babyfood, fruit, applesauce and cherries, strained^BABYFOOD,FRUIT,APPLSAUC&CHERRIES,STR^
161^2^Babyfood, fruit, applesauce and cherries, junior^BABYFOOD,FRUIT,APPLSAUC & CHERRIES,JR^
162^2^Babyfood, fruit, applesauce with banana, junior^BABYFOOD,FRUIT,APPLSAUC W/BANANA,JR^
